"ProcessName","Path","Id"
"AggregatorHost",,"7040"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","23148"
"cam_helper",,"17108"
"cam_helper",,"19236"
"cam_helper",,"24024"
"capiws",,"4704"
"CC_Engine_x64",,"15484"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","392"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1320"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1396"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8440"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8516"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8720"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9128"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9684"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","16496"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","17820"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","19432"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","20968"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","23580"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","24604"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","27276"
"cmd","C:\WINDOWS\system32\cmd.exe","20000"
"conhost",,"5748"
"conhost",,"7560"
"conhost",,"7596"
"conhost",,"7644"
"conhost",,"10216"
"conhost",,"15492"
"conhost","C:\WINDOWS\system32\conhost.exe","22884"
"conhost","C:\WINDOWS\system32\conhost.exe","28272"
"csrss",,"1068"
"csrss",,"23100"
"ctfmon",,"8236"
"DCv2","C:\Program Files\WindowsApps\9426MICRO-STARINTERNATION.MSICenter_2.0.10.0_x64__kzh8wxbdkxb8p\DCv2\DCv2.exe","20536"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","8032"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","13692"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","22464"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","23164"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","27252"
"Discord","C:\Users\Jude\AppData\Local\Discord\app-1.0.9012\Discord.exe","28312"
"dllhost","C:\WINDOWS\system32\DllHost.exe","2480"
"dllhost","C:\WINDOWS\system32\DllHost.exe","13584"
"dwm",,"17168"
"explorer","C:\WINDOWS\Explorer.EXE","25208"
"fontdrvhost",,"1500"
"fontdrvhost",,"5656"
"GameBar","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.1271.0_x64__8wekyb3d8bbwe\GameBar.exe","17432"
"GameBarFTServer","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.1271.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe","15964"
"gameinputsvc",,"4564"
"gameinputsvc",,"17988"
"gamingservices",,"6796"
"gamingservicesnet",,"6788"
"git-cmd","C:\Program Files\Git\git-cmd.exe","27908"
"GoogleCrashHandler",,"13288"
"GoogleCrashHandler64",,"9484"
